RBC results

Test: 08-27 Slide 4
Slide(s): Slide 1

(All Participants compared to Examiner)

Morphology;Examiner;User 2 ;;User 3 ;;User 4 ;;User 5 ;;User 6 ;;User 7 ;;User 8 ;;User 9 ;;User 10 ;;User 11 ;;User 12 ;;User 13 ;;User 14 ;;User 15 ;;User 16 ;;User 17 ;;User 18 ;;User 19 ;;User 20 ;;User 21 ;;User 22 ;;User 23 ;;User 24 ;;User 26 ;;
Dohle Bodies;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Toxic Gran;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;
Vac. Neutrophils;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Possible Parasites;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;

The following participant(s) didn't sign the selected slides(s) and were excluded from the results:
You
User 1
User 25

CellaVision Proficiency Software
