WBC agreement

Test: 08-27 Slide 4
Slide(s): Slide 1

(All Participants compared to Examiner)

Cell class;Examiner;;;User 2;;;User 3;;;User 4;;;User 5;;;User 6;;;User 7;;;User 8;;;User 9;;;User 10;;;User 11;;;User 12;;;User 13;;;User 14;;;User 15;;;User 16;;;User 17;;;User 18;;;User 19;;;User 20;;;User 21;;;User 22;;;User 23;;;User 24;;;User 26;;;Group;;
Megakaryocyte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Smudge cell;14;11.67;;9;9;7.50;13;12;10.83;8;5;6.67;12;12;10.00;12;11;10.00;14;12;11.67;12;12;10.00;15;12;12.50;15;12;12.50;12;12;10.00;15;13;12.50;10;10;8.33;15;12;12.50;17;13;14.17;13;12;10.83;15;12;12.50;2;1;1.67;19;12;15.83;12;11;10.00;7;7;5.83;13;12;10.83;9;8;7.50;15;12;12.50;16;13;13.33;12.50;10.42;
Artefact;4;3.33;;6;4;5.00;2;2;1.67;9;2;7.50;2;2;1.67;5;4;4.17;3;3;2.50;2;2;1.67;;;;1;0;0.83;2;2;1.67;2;2;1.67;;;;;;;;;;4;4;3.33;;;;14;3;11.67;;;;5;4;4.17;8;2;6.67;3;3;2.50;9;3;7.50;;;;;;;3.21;2.67;
Not classed;;;;;;;2;0;1.67;;;;;;;;;;;;;2;0;1.67;2;0;1.67;2;0;1.67;;;;;;;4;0;3.33;2;0;1.67;2;0;1.67;;;;2;0;1.67;5;0;4.17;;;;;;;2;0;1.67;;;;;;;2;0;1.67;2;0;1.67;1.21;1.01;
Abn WBC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

The following participant(s) didn't sign the selected slides(s) and were excluded from the results:
You
User 1
User 25

CellaVision Proficiency Software;120;
