RBC results

Test: 09-08, 10, 15 CV S2
Slide(s): Slide 1

(All Participants compared to Examiner)

Morphology;Examiner;User 2 ;;User 3 ;;User 4 ;;User 5 ;;User 6 ;;User 7 ;;User 8 ;;User 9 ;;User 10 ;;User 11 ;;User 12 ;;User 13 ;;User 14 ;;User 15 ;;User 16 ;;User 17 ;;User 18 ;;User 19 ;;User 20 ;;User 21 ;;User 22 ;;User 23 ;;User 24 ;;User 25 ;;User 26 ;;
Sickle cells;2;2;0;3;1;1;1;1;1;0;2;3;1;0;2;2;0;2;0;0;2;0;2;0;2;0;2;2;0;0;2;1;1;1;1;0;2;0;2;2;0;0;2;2;0;0;2;1;1;0;2;
Spherocytosis;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Elliptocytosis;0;0;0;0;0;2;2;1;1;2;2;0;0;1;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;
Ovalocytosis;1;0;1;0;1;0;1;0;1;0;1;2;1;0;1;0;1;1;0;2;1;0;1;1;0;3;2;0;1;1;0;0;1;1;0;0;1;0;1;0;1;2;1;0;1;2;1;0;1;2;1;
Teardrop cells;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;
Stomatocytosis;0;0;0;1;1;2;2;1;1;0;0;3;3;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;2;2;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;
Acanthocytosis;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Echinocytosis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Howell-Jolly;1;0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;2;1;1;0;0;1;2;1;1;0;2;1;0;1;1;0;0;1;0;1;0;1;0;1;2;1;0;1;0;1;
Pappenheimer;1;0;1;0;1;0;1;1;0;0;1;1;0;0;1;0;1;2;1;0;1;1;0;1;0;0;1;0;1;0;1;2;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;
Basophilic stippling;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Parasites;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
RBC Morph;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Folded RBCs;1;0;1;2;1;0;1;1;0;0;1;0;1;2;1;0;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0;1;0;0;1;1;0;2;1;1;0;0;1;1;0;0;1;0;1;0;1;
RBC Agglutinates;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Rouleaux;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Smudge Cell;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Hyperseg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Auer Rods;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dohle Bodies;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;
Toxic Gran;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Vac. Neutrophils;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Possible Parasites;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;

The following participant(s) didn't sign the selected slides(s) and were excluded from the results:
You
User 1

CellaVision Proficiency Software
