WBC agreement

Test: 09-08, 10, 15 CV S2
Slide(s): Slide 1

(All Participants compared to Examiner)

Cell class;Examiner;;;User 2;;;User 3;;;User 4;;;User 5;;;User 6;;;User 7;;;User 8;;;User 9;;;User 10;;;User 11;;;User 12;;;User 13;;;User 14;;;User 15;;;User 16;;;User 17;;;User 18;;;User 19;;;User 20;;;User 21;;;User 22;;;User 23;;;User 24;;;User 25;;;User 26;;;Group;;
Promonocyte;;;;1;0;0.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0.95;;;;;;;;;;0.08;0.08;
Prolymphocyte;;;;;;;;;;;;;1;0;0.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;0.04;
Blast;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0.95;;;;;;;;;;;;;;;;1;0;0.95;1;0;0.95;;;;;;;2;0;1.90;;;;;;;;;;;;;;;;;;;0.20;0.19;
Lymphocyte, variant form;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reactive lymphocyte;;;;;;;;;;1;0;0.95;;;;;;;;;;;;;;;;;;;1;0;0.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;2.86;;;;0.20;0.19;
Abnormal lymphocyte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;0;5.71;;;;0.24;0.23;
Plasma cell;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Large granular lymphocyte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;0;5.71;;;;0.24;0.23;
Hairy cell;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sézary cell;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nucleated RBC;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;0;3.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.16;0.15;
Giant thrombocyte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thrombocyte aggregation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Megakaryocyte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Smudge cell;1;0.95;;1;1;0.95;1;1;0.95;1;1;0.95;1;1;0.95;1;1;0.95;3;1;2.86;2;1;1.90;1;1;0.95;1;1;0.95;1;1;0.95;1;1;0.95;2;1;1.90;4;1;3.81;2;1;1.90;;;;2;1;1.90;2;1;1.90;4;1;3.81;1;1;0.95;3;1;2.86;4;1;3.81;1;1;0.95;2;1;1.90;1;0;0.95;1;1;0.95;1.72;1.64;
Artefact;1;0.95;;3;1;2.86;3;1;2.86;3;1;2.86;3;1;2.86;3;1;2.86;1;0;0.95;2;0;1.90;3;1;2.86;3;1;2.86;3;1;2.86;3;1;2.86;3;1;2.86;;;;3;1;2.86;4;1;3.81;2;0;1.90;2;1;1.90;1;0;0.95;3;1;2.86;1;1;0.95;;;;3;1;2.86;2;0;1.90;;;;3;1;2.86;2.28;2.17;
Not classed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abn WBC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

The following participant(s) didn't sign the selected slides(s) and were excluded from the results:
You
User 1

CellaVision Proficiency Software;105;
